page	start	end
843	ⲁ	ⲁⲅⲣⲟⲥ
844	ⲁⲅⲱⲛ	ⲁⲕⲉⲣⲁⲓⲟⲥ
845	ⲁⲕⲉⲣⲟⲥ	ⲁⲙⲉⲗⲏⲥ
846	ⲁⲙⲉⲗⲓ	ⲁⲛⲟⲙⲓⲁ
847	ⲁⲛⲟⲙⲟⲥ	ⲁⲡⲗⲟⲩⲥ
848	ⲁⲡⲗⲱⲥ	ⲁⲣⲅⲩⲣⲟⲩⲥ
849	ⲁⲣⲅⲱⲛⲓⲥⲧⲏⲥ	ⲁⲥⲕⲟⲥ
850	ⲁⲥⲙⲁ	ⲁⲯⲩⲭⲟⲥ
851	ⲃ	ⲃⲣⲟⲩⲭⲟⲥ
852	ⲅ	ⲅⲱⲅ
853	ⲇⲁⲓⲙⲟⲛⲓⲟⲛ	ⲇⲓⲁⲧⲏⲙⲁ
854	ⲇⲓⲁⲧⲏⲡⲟⲥ	ⲇⲟⲕⲓⲙⲏ
855	ⲇⲟⲕⲓⲙⲟⲛ	ⲇⲱⲣⲟⲛ
856	ⲉ	ⲉⲛⲧⲏⲙⲁ
857	ⲉⲛⲧⲟⲗⲏ	ⲉⲡⲓⲥⲧⲏⲙⲏ
858	ⲉⲡⲓⲥⲧⲟⲗⲏ	ⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ
859	ⲉⲩⲁⲅⲅⲉⲗⲓⲥⲙⲟⲥ	ⲉⲭⲱⲙⲉⲛ
860	ⲍ	ⲏⲧⲟⲥ
861	ⲑ	ⲑⲩⲥⲓⲁⲥⲧⲏⲣⲟⲛ
862	ⲓ	ⲓⲱⲧⲁ
863	ⲕ	ⲕⲁⲡⲥⲁ
864	ⲕⲁⲣⲇⲓⲁ	ⲕⲁⲧⲏⲭⲉⲓⲛ
865	ⲕⲁⲧⲏⲭⲏⲥⲓⲥ	ⲕⲗⲏⲣⲟⲥ
866	ⲕⲗⲏⲣⲟⲥ	ⲕⲣⲁⲙⲃⲏ
867	ⲕⲣⲁⲙⲙⲁⲧⲓⲟⲛ	ⲕⲱⲫⲟⲥ
868	ⲗ	ⲗⲟⲅⲓⲟⲛ
869	ⲗⲟⲅⲓⲥⲙⲟⲥ	ⲗⲱⲣⲟⲛ
870	ⲙⲁⲅⲅⲁⲛⲟⲛ	ⲙⲉⲣⲓⲥ
871	ⲙⲉⲣⲟⲥ	ⲙⲟⲛⲏ
872	ⲙⲟⲛⲟ	ⲙⲱⲩⲥⲏⲥ
873	ⲛⲁⲍⲁⲣⲓⲟⲥ	ⲛⲱⲉ
874	ⲝⲉⲛⲓⲁ	ⲝⲱⲣⲓⲥⲧⲓⲁ
875	ⲟ	ⲟⲩⲛⲁⲣⲓⲟⲛ
876	ⲟⲩⲟⲓ	ⲟⲯⲱⲛⲓⲟⲛ
877	ⲡⲁⲅⲁⲛⲟⲥ	ⲡⲁⲣⲁⲑⲏⲕⲏ
878	ⲡⲁⲣⲁⲓⲧⲉⲓⲛ	ⲡⲁⲩⲕⲓⲛⲱⲛ
879	ⲡⲁⲩⲗⲟⲥ	ⲡⲗⲁⲛⲟⲥ
880	ⲡⲗⲁⲝ	ⲡⲟⲣⲛⲏ
881	ⲡⲟⲣⲛⲟⲃⲟⲥⲕⲟⲥ	ⲡⲣⲟⲥⲉⲩⲭⲏ
882	ⲡⲣⲟⲥⲏⲗⲓⲧⲟⲥ	ⲣⲱⲡⲏ
883	ⲥⲁⲃⲃⲁⲧⲟⲛ	ⲥⲕⲁⲛⲇⲁⲗⲓⲍⲉⲓⲛ
884	ⲥⲕⲁⲛⲇⲁⲗⲟⲛ	ⲥⲡⲉⲣⲙⲟⲗⲟⲅⲟⲥ
885	ⲥⲡⲏⲗⲁⲓⲟⲛ	ⲥⲧⲟⲓⲭⲉⲓⲟⲛ
886	ⲥⲧⲟⲓⲭⲓⲟⲛ	ⲥⲩⲙⲡⲟⲥⲓⲟⲛ
887	ⲥⲩⲙⲫⲟⲣⲁ	ⲥⲩⲛⲩⲇⲣⲓⲟⲛ
888	ⲥⲩⲛⲓⲥⲧⲁ	ⲥϯⲭⲁⲣⲓⲟⲛ
889	ⲧⲁⲃⲗⲁ	ⲧⲉⲭⲛⲓⲧⲏⲥ
890	ⲧⲉⲱⲥ	ⲧⲱⲧⲏⲥ
891	ⲩⲅⲉⲙⲱⲛ	ⲩⲯⲓⲧⲟⲥ
892	ⲫⲁⲕⲟⲥ	ⲫⲟⲃⲟⲥ
893	ⲫⲟⲓⲛⲓⲁⲕⲟ	ⲫⲱⲥⲧⲏⲣ
894	ⲭⲁⲓⲣⲉ	ⲭⲗⲉⲩⲁⲥⲓⲁ
895	ⲭⲟⲗⲏ	ⲭⲱⲣⲟⲥ
896	ⲯⲁⲗⲓ	ⲯⲱⲣⲁ
897	ⲱ	ⲱⲫⲉⲗⲉⲓⲁ
898	ϩⲁⲓⲣⲉⲥⲓⲥ	ϩⲟⲣⲙⲏ
899	ϩⲟⲣⲙⲉⲥ	ϩⲱⲥⲧⲉ
