date  timestamp	loc	marcion_img	marcion_dawoud
Sun Jul 14 07:26:58 CEST 2024	1720934818	15326	554	1378
Sun Jul 14 07:27:01 CEST 2024	1720934821	15326	554	1378
Sun Jul 14 20:16:05 CEST 2024	1720980965	15508	554	1394
Mon Jul 15 11:44:35 CEST 2024	1721036675	15494	554	1394
Tue Jul 16 12:52:27 CEST 2024	1721127147	15685	554	1413
Thu Jul 18 09:11:13 CEST 2024	1721286673	15704	576	1430
Fri Jul 19 08:34:08 CEST 2024	1721370848	15705	591	1457
Sun Jul 21 08:54:56 CEST 2024	1721544896	15760	591	1468
Tue Jul 23 16:56:05 CEST 2024	1721746565	15768	591	1484
Wed Jul 24 22:07:59 CEST 2024	1721851679	15768	591	1498
Fri Jul 26 18:26:31 CEST 2024	1722011191	15768	591	1524
Sat Jul 27 18:28:51 CEST 2024	1722097731	15786	591	1524
Mon Jul 29 14:45:35 CEST 2024	1722257135	15847	594	1524
Tue Jul 30 21:39:26 CEST 2024	1722368366	15856	605	1550
Thu Aug  1 09:35:24 CEST 2024	1722497724	16090	649	1550
Fri Aug  2 10:35:05 CEST 2024	1722587705	16060	649	1557
Sat Aug  3 18:09:48 CEST 2024	1722701388	16170	649	1557
Sun Aug  4 12:52:10 CEST 2024	1722768730	16186	649	1985
Mon Aug  5 12:53:16 CEST 2024	1722855196	16227	649	2104
Wed Aug  7 07:32:47 CEST 2024	1723008767	16533	649	2104
Thu Aug  8 08:04:37 CEST 2024	1723097077	16627	649	2532
